Province,Gender,Age,Income,Value
Ontario,Females,"All age groups (4,10)","Persons with income of $250,000 and over (5)",18860
Ontario,Females,"0 to 24 years (4,10)",Total persons with income (5),590040
Ontario,Females,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",154110
Ontario,Females,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",435940
Ontario,Females,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",301350
Ontario,Females,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",189770
Ontario,Females,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",120120
Ontario,Females,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",78350
Ontario,Females,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",35220
Ontario,Females,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",11630
Ontario,Females,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",1990
Ontario,Females,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",660
Ontario,Females,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",160
Ontario,Females,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",60
Ontario,Females,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",40
Ontario,Females,25 to 34 years (4),Total persons with income (5),814690
Ontario,Females,25 to 34 years (4),"Persons with income under $5,000 (5)",66220
Ontario,Females,25 to 34 years (4),"Persons with income of $5,000 and over (5)",748480
Ontario,Females,25 to 34 years (4),"Persons with income of $10,000 and over (5)",686050
Ontario,Females,25 to 34 years (4),"Persons with income of $15,000 and over (5)",611440
Ontario,Females,25 to 34 years (4),"Persons with income of $20,000 and over (5)",536110
Ontario,Females,25 to 34 years (4),"Persons with income of $25,000 and over (5)",463250
Ontario,Females,25 to 34 years (4),"Persons with income of $35,000 and over (5)",332990
Ontario,Females,25 to 34 years (4),"Persons with income of $50,000 and over (5)",179940
Ontario,Females,25 to 34 years (4),"Persons with income of $75,000 and over (5)",53780
Ontario,Females,25 to 34 years (4),"Persons with income of $100,000 and over (5)",13890
Ontario,Females,25 to 34 years (4),"Persons with income of $150,000 and over (5)",2740
Ontario,Females,25 to 34 years (4),"Persons with income of $200,000 and over (5)",1040
Ontario,Females,25 to 34 years (4),"Persons with income of $250,000 and over (5)",490
Ontario,Females,35 to 44 years (4),Total persons with income (5),876790
Ontario,Females,35 to 44 years (4),"Persons with income under $5,000 (5)",69100
Ontario,Females,35 to 44 years (4),"Persons with income of $5,000 and over (5)",807690
Ontario,Females,35 to 44 years (4),"Persons with income of $10,000 and over (5)",751330
Ontario,Females,35 to 44 years (4),"Persons with income of $15,000 and over (5)",687700
Ontario,Females,35 to 44 years (4),"Persons with income of $20,000 and over (5)",626590
Ontario,Females,35 to 44 years (4),"Persons with income of $25,000 and over (5)",564290
Ontario,Females,35 to 44 years (4),"Persons with income of $35,000 and over (5)",447670
Ontario,Females,35 to 44 years (4),"Persons with income of $50,000 and over (5)",291640
Ontario,Females,35 to 44 years (4),"Persons with income of $75,000 and over (5)",143990
Ontario,Females,35 to 44 years (4),"Persons with income of $100,000 and over (5)",51740
Ontario,Females,35 to 44 years (4),"Persons with income of $150,000 and over (5)",14210
Ontario,Females,35 to 44 years (4),"Persons with income of $200,000 and over (5)",6360
Ontario,Females,35 to 44 years (4),"Persons with income of $250,000 and over (5)",3550
Ontario,Females,45 to 54 years (4),Total persons with income (5),956510
Ontario,Females,45 to 54 years (4),"Persons with income under $5,000 (5)",75940
Ontario,Females,45 to 54 years (4),"Persons with income of $5,000 and over (5)",880570
Ontario,Females,45 to 54 years (4),"Persons with income of $10,000 and over (5)",825050
Ontario,Females,45 to 54 years (4),"Persons with income of $15,000 and over (5)",750940
Ontario,Females,45 to 54 years (4),"Persons with income of $20,000 and over (5)",685780
Ontario,Females,45 to 54 years (4),"Persons with income of $25,000 and over (5)",621870
Ontario,Females,45 to 54 years (4),"Persons with income of $35,000 and over (5)",504380
Ontario,Females,45 to 54 years (4),"Persons with income of $50,000 and over (5)",332540
Ontario,Females,45 to 54 years (4),"Persons with income of $75,000 and over (5)",170300
Ontario,Females,45 to 54 years (4),"Persons with income of $100,000 and over (5)",72440
Ontario,Females,45 to 54 years (4),"Persons with income of $150,000 and over (5)",22430
Ontario,Females,45 to 54 years (4),"Persons with income of $200,000 and over (5)",10900
Ontario,Females,45 to 54 years (4),"Persons with income of $250,000 and over (5)",6550
Ontario,Females,55 to 64 years (4),Total persons with income (5),776690
Ontario,Females,55 to 64 years (4),"Persons with income under $5,000 (5)",80900
Ontario,Females,55 to 64 years (4),"Persons with income of $5,000 and over (5)",695800
Ontario,Females,55 to 64 years (4),"Persons with income of $10,000 and over (5)",630950
Ontario,Females,55 to 64 years (4),"Persons with income of $15,000 and over (5)",548910
Ontario,Females,55 to 64 years (4),"Persons with income of $20,000 and over (5)",490260
Ontario,Females,55 to 64 years (4),"Persons with income of $25,000 and over (5)",439180
Ontario,Females,55 to 64 years (4),"Persons with income of $35,000 and over (5)",348800
Ontario,Females,55 to 64 years (4),"Persons with income of $50,000 and over (5)",221380
Ontario,Females,55 to 64 years (4),"Persons with income of $75,000 and over (5)",104200
Ontario,Females,55 to 64 years (4),"Persons with income of $100,000 and over (5)",47000
Ontario,Females,55 to 64 years (4),"Persons with income of $150,000 and over (5)",15050
Ontario,Females,55 to 64 years (4),"Persons with income of $200,000 and over (5)",7220
Ontario,Females,55 to 64 years (4),"Persons with income of $250,000 and over (5)",4430
Ontario,Females,65 years and over,Total persons with income (5),1065700
Ontario,Females,65 years and over,"Persons with income under $5,000 (5)",20460
Ontario,Females,65 years and over,"Persons with income of $5,000 and over (5)",1045240
Ontario,Females,65 years and over,"Persons with income of $10,000 and over (5)",990000
Ontario,Females,65 years and over,"Persons with income of $15,000 and over (5)",850680
Ontario,Females,65 years and over,"Persons with income of $20,000 and over (5)",633630
Ontario,Females,65 years and over,"Persons with income of $25,000 and over (5)",464500
Ontario,Females,65 years and over,"Persons with income of $35,000 and over (5)",295340
Ontario,Females,65 years and over,"Persons with income of $50,000 and over (5)",156990
Ontario,Females,65 years and over,"Persons with income of $75,000 and over (5)",58100
Ontario,Females,65 years and over,"Persons with income of $100,000 and over (5)",27940
Ontario,Females,65 years and over,"Persons with income of $150,000 and over (5)",10800
Ontario,Females,65 years and over,"Persons with income of $200,000 and over (5)",5930
Ontario,Females,65 years and over,"Persons with income of $250,000 and over (5)",3810
Manitoba,Both sexes,"All age groups (4,10)",Total persons with income (5),909150
Manitoba,Both sexes,"All age groups (4,10)","Persons with income under $5,000 (5)",73720
Manitoba,Both sexes,"All age groups (4,10)","Persons with income of $5,000 and over (5)",835430
Manitoba,Both sexes,"All age groups (4,10)","Persons with income of $10,000 and over (5)",769330
Manitoba,Both sexes,"All age groups (4,10)","Persons with income of $15,000 and over (5)",691130
Manitoba,Both sexes,"All age groups (4,10)","Persons with income of $20,000 and over (5)",604040
Manitoba,Both sexes,"All age groups (4,10)","Persons with income of $25,000 and over (5)",528310
Manitoba,Both sexes,"All age groups (4,10)","Persons with income of $35,000 and over (5)",400240
Manitoba,Both sexes,"All age groups (4,10)","Persons with income of $50,000 and over (5)",240860
Manitoba,Both sexes,"All age groups (4,10)","Persons with income of $75,000 and over (5)",103180
Manitoba,Both sexes,"All age groups (4,10)","Persons with income of $100,000 and over (5)",43430
Manitoba,Both sexes,"All age groups (4,10)","Persons with income of $150,000 and over (5)",13320
Manitoba,Both sexes,"All age groups (4,10)","Persons with income of $200,000 and over (5)",6610
Manitoba,Both sexes,"All age groups (4,10)","Persons with income of $250,000 and over (5)",4060
Manitoba,Both sexes,"0 to 24 years (4,10)",Total persons with income (5),123380
Manitoba,Both sexes,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",26740
Manitoba,Both sexes,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",96650
Manitoba,Both sexes,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",73830
Manitoba,Both sexes,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",52380
Manitoba,Both sexes,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",37200
Manitoba,Both sexes,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",26890
Manitoba,Both sexes,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",13340
Manitoba,Both sexes,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",4800
Manitoba,Both sexes,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",1020
Manitoba,Both sexes,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",280
Manitoba,Both sexes,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",40
Manitoba,Both sexes,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",20
Manitoba,Both sexes,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",20
Manitoba,Both sexes,25 to 34 years (4),Total persons with income (5),155940
Manitoba,Both sexes,25 to 34 years (4),"Persons with income under $5,000 (5)",13760
Manitoba,Both sexes,25 to 34 years (4),"Persons with income of $5,000 and over (5)",142180
Manitoba,Both sexes,25 to 34 years (4),"Persons with income of $10,000 and over (5)",131000
Manitoba,Both sexes,25 to 34 years (4),"Persons with income of $15,000 and over (5)",118700
Manitoba,Both sexes,25 to 34 years (4),"Persons with income of $20,000 and over (5)",106830
Manitoba,Both sexes,25 to 34 years (4),"Persons with income of $25,000 and over (5)",94830
Manitoba,Both sexes,25 to 34 years (4),"Persons with income of $35,000 and over (5)",69650
Manitoba,Both sexes,25 to 34 years (4),"Persons with income of $50,000 and over (5)",37860
Manitoba,Both sexes,25 to 34 years (4),"Persons with income of $75,000 and over (5)",11650
Manitoba,Both sexes,25 to 34 years (4),"Persons with income of $100,000 and over (5)",3660
Manitoba,Both sexes,25 to 34 years (4),"Persons with income of $150,000 and over (5)",640
Manitoba,Both sexes,25 to 34 years (4),"Persons with income of $200,000 and over (5)",220
Manitoba,Both sexes,25 to 34 years (4),"Persons with income of $250,000 and over (5)",100
Manitoba,Both sexes,35 to 44 years (4),Total persons with income (5),149770
Manitoba,Both sexes,35 to 44 years (4),"Persons with income under $5,000 (5)",10540
Manitoba,Both sexes,35 to 44 years (4),"Persons with income of $5,000 and over (5)",139230
Manitoba,Both sexes,35 to 44 years (4),"Persons with income of $10,000 and over (5)",130820
Manitoba,Both sexes,35 to 44 years (4),"Persons with income of $15,000 and over (5)",122390
Manitoba,Both sexes,35 to 44 years (4),"Persons with income of $20,000 and over (5)",114120
Manitoba,Both sexes,35 to 44 years (4),"Persons with income of $25,000 and over (5)",105220
Manitoba,Both sexes,35 to 44 years (4),"Persons with income of $35,000 and over (5)",84790
Manitoba,Both sexes,35 to 44 years (4),"Persons with income of $50,000 and over (5)",54680
Manitoba,Both sexes,35 to 44 years (4),"Persons with income of $75,000 and over (5)",25010
Manitoba,Both sexes,35 to 44 years (4),"Persons with income of $100,000 and over (5)",9590
Manitoba,Both sexes,35 to 44 years (4),"Persons with income of $150,000 and over (5)",2700
Manitoba,Both sexes,35 to 44 years (4),"Persons with income of $200,000 and over (5)",1250
Manitoba,Both sexes,35 to 44 years (4),"Persons with income of $250,000 and over (5)",690
Manitoba,Both sexes,45 to 54 years (4),Total persons with income (5),163040
Manitoba,Both sexes,45 to 54 years (4),"Persons with income under $5,000 (5)",10890
Manitoba,Both sexes,45 to 54 years (4),"Persons with income of $5,000 and over (5)",152140
Manitoba,Both sexes,45 to 54 years (4),"Persons with income of $10,000 and over (5)",143480
Manitoba,Both sexes,45 to 54 years (4),"Persons with income of $15,000 and over (5)",134870
Manitoba,Both sexes,45 to 54 years (4),"Persons with income of $20,000 and over (5)",127400
Manitoba,Both sexes,45 to 54 years (4),"Persons with income of $25,000 and over (5)",118860
Manitoba,Both sexes,45 to 54 years (4),"Persons with income of $35,000 and over (5)",98710
Manitoba,Both sexes,45 to 54 years (4),"Persons with income of $50,000 and over (5)",65940
Manitoba,Both sexes,45 to 54 years (4),"Persons with income of $75,000 and over (5)",32780
Manitoba,Both sexes,45 to 54 years (4),"Persons with income of $100,000 and over (5)",14220
Manitoba,Both sexes,45 to 54 years (4),"Persons with income of $150,000 and over (5)",4260
Manitoba,Both sexes,45 to 54 years (4),"Persons with income of $200,000 and over (5)",2120
Manitoba,Both sexes,45 to 54 years (4),"Persons with income of $250,000 and over (5)",1280
Manitoba,Both sexes,55 to 64 years (4),Total persons with income (5),141560
Manitoba,Both sexes,55 to 64 years (4),"Persons with income under $5,000 (5)",10200
Manitoba,Both sexes,55 to 64 years (4),"Persons with income of $5,000 and over (5)",131360
Manitoba,Both sexes,55 to 64 years (4),"Persons with income of $10,000 and over (5)",121530
Manitoba,Both sexes,55 to 64 years (4),"Persons with income of $15,000 and over (5)",111250
Manitoba,Both sexes,55 to 64 years (4),"Persons with income of $20,000 and over (5)",103030
Manitoba,Both sexes,55 to 64 years (4),"Persons with income of $25,000 and over (5)",94670
Manitoba,Both sexes,55 to 64 years (4),"Persons with income of $35,000 and over (5)",76210
Manitoba,Both sexes,55 to 64 years (4),"Persons with income of $50,000 and over (5)",48450
Manitoba,Both sexes,55 to 64 years (4),"Persons with income of $75,000 and over (5)",22800
Manitoba,Both sexes,55 to 64 years (4),"Persons with income of $100,000 and over (5)",10870
Manitoba,Both sexes,55 to 64 years (4),"Persons with income of $150,000 and over (5)",3670
Manitoba,Both sexes,55 to 64 years (4),"Persons with income of $200,000 and over (5)",1880
Manitoba,Both sexes,55 to 64 years (4),"Persons with income of $250,000 and over (5)",1220
Manitoba,Both sexes,65 years and over,Total persons with income (5),175450
Manitoba,Both sexes,65 years and over,"Persons with income under $5,000 (5)",1590
Manitoba,Both sexes,65 years and over,"Persons with income of $5,000 and over (5)",173870
Manitoba,Both sexes,65 years and over,"Persons with income of $10,000 and over (5)",168670
Manitoba,Both sexes,65 years and over,"Persons with income of $15,000 and over (5)",151540
Manitoba,Both sexes,65 years and over,"Persons with income of $20,000 and over (5)",115460
Manitoba,Both sexes,65 years and over,"Persons with income of $25,000 and over (5)",87850
Manitoba,Both sexes,65 years and over,"Persons with income of $35,000 and over (5)",57520
Manitoba,Both sexes,65 years and over,"Persons with income of $50,000 and over (5)",29140
Manitoba,Both sexes,65 years and over,"Persons with income of $75,000 and over (5)",9920
Manitoba,Both sexes,65 years and over,"Persons with income of $100,000 and over (5)",4820
Manitoba,Both sexes,65 years and over,"Persons with income of $150,000 and over (5)",2010
Manitoba,Both sexes,65 years and over,"Persons with income of $200,000 and over (5)",1130
Manitoba,Both sexes,65 years and over,"Persons with income of $250,000 and over (5)",770
Manitoba,Males,"All age groups (4,10)",Total persons with income (5),440140
Manitoba,Males,"All age groups (4,10)","Persons with income under $5,000 (5)",35090
Manitoba,Males,"All age groups (4,10)","Persons with income of $5,000 and over (5)",405050
Manitoba,Males,"All age groups (4,10)","Persons with income of $10,000 and over (5)",380340
Manitoba,Males,"All age groups (4,10)","Persons with income of $15,000 and over (5)",350860
Manitoba,Males,"All age groups (4,10)","Persons with income of $20,000 and over (5)",317750
Manitoba,Males,"All age groups (4,10)","Persons with income of $25,000 and over (5)",288590
Manitoba,Males,"All age groups (4,10)","Persons with income of $35,000 and over (5)",233140
Manitoba,Males,"All age groups (4,10)","Persons with income of $50,000 and over (5)",152050
Manitoba,Males,"All age groups (4,10)","Persons with income of $75,000 and over (5)",69220
Manitoba,Males,"All age groups (4,10)","Persons with income of $100,000 and over (5)",32170
Manitoba,Males,"All age groups (4,10)","Persons with income of $150,000 and over (5)",10230
Manitoba,Males,"All age groups (4,10)","Persons with income of $200,000 and over (5)",5120
Manitoba,Males,"All age groups (4,10)","Persons with income of $250,000 and over (5)",3180
Manitoba,Males,"0 to 24 years (4,10)",Total persons with income (5),61900
Manitoba,Males,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",13820
Manitoba,Males,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",48080
Manitoba,Males,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",38430
Manitoba,Males,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",29120
Manitoba,Males,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",22340
Manitoba,Males,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",17330
Manitoba,Males,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",9810
Manitoba,Males,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",3800
Manitoba,Males,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",850
Manitoba,Males,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",230
Manitoba,Males,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",30
Manitoba,Males,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",20
Manitoba,Males,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",20
Manitoba,Males,25 to 34 years (4),Total persons with income (5),76800
Manitoba,Males,25 to 34 years (4),"Persons with income under $5,000 (5)",7170
Manitoba,Males,25 to 34 years (4),"Persons with income of $5,000 and over (5)",69630
Manitoba,Males,25 to 34 years (4),"Persons with income of $10,000 and over (5)",65620
Manitoba,Males,25 to 34 years (4),"Persons with income of $15,000 and over (5)",60850
Manitoba,Males,25 to 34 years (4),"Persons with income of $20,000 and over (5)",56370
Manitoba,Males,25 to 34 years (4),"Persons with income of $25,000 and over (5)",51730
Manitoba,Males,25 to 34 years (4),"Persons with income of $35,000 and over (5)",40990
Manitoba,Males,25 to 34 years (4),"Persons with income of $50,000 and over (5)",24430
Manitoba,Males,25 to 34 years (4),"Persons with income of $75,000 and over (5)",8390
Manitoba,Males,25 to 34 years (4),"Persons with income of $100,000 and over (5)",2880
Manitoba,Males,25 to 34 years (4),"Persons with income of $150,000 and over (5)",510
Manitoba,Males,25 to 34 years (4),"Persons with income of $200,000 and over (5)",170
Manitoba,Males,25 to 34 years (4),"Persons with income of $250,000 and over (5)",80
Manitoba,Males,35 to 44 years (4),Total persons with income (5),73130
Manitoba,Males,35 to 44 years (4),"Persons with income under $5,000 (5)",4810
Manitoba,Males,35 to 44 years (4),"Persons with income of $5,000 and over (5)",68320
Manitoba,Males,35 to 44 years (4),"Persons with income of $10,000 and over (5)",65420
Manitoba,Males,35 to 44 years (4),"Persons with income of $15,000 and over (5)",62240
Manitoba,Males,35 to 44 years (4),"Persons with income of $20,000 and over (5)",59320
Manitoba,Males,35 to 44 years (4),"Persons with income of $25,000 and over (5)",56190
Manitoba,Males,35 to 44 years (4),"Persons with income of $35,000 and over (5)",48140
Manitoba,Males,35 to 44 years (4),"Persons with income of $50,000 and over (5)",34030
Manitoba,Males,35 to 44 years (4),"Persons with income of $75,000 and over (5)",16760
Manitoba,Males,35 to 44 years (4),"Persons with income of $100,000 and over (5)",7260
Manitoba,Males,35 to 44 years (4),"Persons with income of $150,000 and over (5)",2110
Manitoba,Males,35 to 44 years (4),"Persons with income of $200,000 and over (5)",980
Manitoba,Males,35 to 44 years (4),"Persons with income of $250,000 and over (5)",550
Manitoba,Males,45 to 54 years (4),Total persons with income (5),80750
Manitoba,Males,45 to 54 years (4),"Persons with income under $5,000 (5)",4790
Manitoba,Males,45 to 54 years (4),"Persons with income of $5,000 and over (5)",75960
Manitoba,Males,45 to 54 years (4),"Persons with income of $10,000 and over (5)",72460
Manitoba,Males,45 to 54 years (4),"Persons with income of $15,000 and over (5)",68790
Manitoba,Males,45 to 54 years (4),"Persons with income of $20,000 and over (5)",65940
Manitoba,Males,45 to 54 years (4),"Persons with income of $25,000 and over (5)",62860
Manitoba,Males,45 to 54 years (4),"Persons with income of $35,000 and over (5)",55160
Manitoba,Males,45 to 54 years (4),"Persons with income of $50,000 and over (5)",40370
Manitoba,Males,45 to 54 years (4),"Persons with income of $75,000 and over (5)",21390
Manitoba,Males,45 to 54 years (4),"Persons with income of $100,000 and over (5)",10490
Manitoba,Males,45 to 54 years (4),"Persons with income of $150,000 and over (5)",3320
Manitoba,Males,45 to 54 years (4),"Persons with income of $200,000 and over (5)",1680
Manitoba,Males,45 to 54 years (4),"Persons with income of $250,000 and over (5)",1030
Manitoba,Males,55 to 64 years (4),Total persons with income (5),69960
Manitoba,Males,55 to 64 years (4),"Persons with income under $5,000 (5)",3760
Manitoba,Males,55 to 64 years (4),"Persons with income of $5,000 and over (5)",66200
Manitoba,Males,55 to 64 years (4),"Persons with income of $10,000 and over (5)",62550
Manitoba,Males,55 to 64 years (4),"Persons with income of $15,000 and over (5)",58180
Manitoba,Males,55 to 64 years (4),"Persons with income of $20,000 and over (5)",55100
Manitoba,Males,55 to 64 years (4),"Persons with income of $25,000 and over (5)",52000
Manitoba,Males,55 to 64 years (4),"Persons with income of $35,000 and over (5)",44400
Manitoba,Males,55 to 64 years (4),"Persons with income of $50,000 and over (5)",30620
Manitoba,Males,55 to 64 years (4),"Persons with income of $75,000 and over (5)",15140
Manitoba,Males,55 to 64 years (4),"Persons with income of $100,000 and over (5)",7990
Manitoba,Males,55 to 64 years (4),"Persons with income of $150,000 and over (5)",2850
Manitoba,Males,55 to 64 years (4),"Persons with income of $200,000 and over (5)",1490
Manitoba,Males,55 to 64 years (4),"Persons with income of $250,000 and over (5)",960
Manitoba,Males,65 years and over,Total persons with income (5),77610
Manitoba,Males,65 years and over,"Persons with income under $5,000 (5)",750
Manitoba,Males,65 years and over,"Persons with income of $5,000 and over (5)",76850
Manitoba,Males,65 years and over,"Persons with income of $10,000 and over (5)",75870
Manitoba,Males,65 years and over,"Persons with income of $15,000 and over (5)",71670
Manitoba,Males,65 years and over,"Persons with income of $20,000 and over (5)",58690
Manitoba,Males,65 years and over,"Persons with income of $25,000 and over (5)",48480
Manitoba,Males,65 years and over,"Persons with income of $35,000 and over (5)",34640
Manitoba,Males,65 years and over,"Persons with income of $50,000 and over (5)",18790
Manitoba,Males,65 years and over,"Persons with income of $75,000 and over (5)",6700
Manitoba,Males,65 years and over,"Persons with income of $100,000 and over (5)",3330
Manitoba,Males,65 years and over,"Persons with income of $150,000 and over (5)",1410
Manitoba,Males,65 years and over,"Persons with income of $200,000 and over (5)",790
Manitoba,Males,65 years and over,"Persons with income of $250,000 and over (5)",550
Manitoba,Females,"All age groups (4,10)",Total persons with income (5),469010
Manitoba,Females,"All age groups (4,10)","Persons with income under $5,000 (5)",38630
Manitoba,Females,"All age groups (4,10)","Persons with income of $5,000 and over (5)",430380
Manitoba,Females,"All age groups (4,10)","Persons with income of $10,000 and over (5)",388980
Manitoba,Females,"All age groups (4,10)","Persons with income of $15,000 and over (5)",340270
Manitoba,Females,"All age groups (4,10)","Persons with income of $20,000 and over (5)",286290
Manitoba,Females,"All age groups (4,10)","Persons with income of $25,000 and over (5)",239720
Manitoba,Females,"All age groups (4,10)","Persons with income of $35,000 and over (5)",167100
Manitoba,Females,"All age groups (4,10)","Persons with income of $50,000 and over (5)",88820
Manitoba,Females,"All age groups (4,10)","Persons with income of $75,000 and over (5)",33950
Manitoba,Females,"All age groups (4,10)","Persons with income of $100,000 and over (5)",11260
Manitoba,Females,"All age groups (4,10)","Persons with income of $150,000 and over (5)",3100
Manitoba,Females,"All age groups (4,10)","Persons with income of $200,000 and over (5)",1490
Manitoba,Females,"All age groups (4,10)","Persons with income of $250,000 and over (5)",880
Manitoba,Females,"0 to 24 years (4,10)",Total persons with income (5),61480
Manitoba,Females,"0 to 24 years (4,10)","Persons with income under $5,000 (5)",12920
Manitoba,Females,"0 to 24 years (4,10)","Persons with income of $5,000 and over (5)",48560
Manitoba,Females,"0 to 24 years (4,10)","Persons with income of $10,000 and over (5)",35400
Manitoba,Females,"0 to 24 years (4,10)","Persons with income of $15,000 and over (5)",23260
Manitoba,Females,"0 to 24 years (4,10)","Persons with income of $20,000 and over (5)",14860
Manitoba,Females,"0 to 24 years (4,10)","Persons with income of $25,000 and over (5)",9560
Manitoba,Females,"0 to 24 years (4,10)","Persons with income of $35,000 and over (5)",3530
Manitoba,Females,"0 to 24 years (4,10)","Persons with income of $50,000 and over (5)",1000
Manitoba,Females,"0 to 24 years (4,10)","Persons with income of $75,000 and over (5)",180
Manitoba,Females,"0 to 24 years (4,10)","Persons with income of $100,000 and over (5)",60
Manitoba,Females,"0 to 24 years (4,10)","Persons with income of $150,000 and over (5)",20
Manitoba,Females,"0 to 24 years (4,10)","Persons with income of $200,000 and over (5)",20
Manitoba,Females,"0 to 24 years (4,10)","Persons with income of $250,000 and over (5)",20
Manitoba,Females,25 to 34 years (4),Total persons with income (5),79140
Manitoba,Females,25 to 34 years (4),"Persons with income under $5,000 (5)",6600
Manitoba,Females,25 to 34 years (4),"Persons with income of $5,000 and over (5)",72550
Manitoba,Females,25 to 34 years (4),"Persons with income of $10,000 and over (5)",65380
Manitoba,Females,25 to 34 years (4),"Persons with income of $15,000 and over (5)",57850
Manitoba,Females,25 to 34 years (4),"Persons with income of $20,000 and over (5)",50460
Manitoba,Females,25 to 34 years (4),"Persons with income of $25,000 and over (5)",43100
Manitoba,Females,25 to 34 years (4),"Persons with income of $35,000 and over (5)",28670
Manitoba,Females,25 to 34 years (4),"Persons with income of $50,000 and over (5)",13430
Manitoba,Females,25 to 34 years (4),"Persons with income of $75,000 and over (5)",3270
Manitoba,Females,25 to 34 years (4),"Persons with income of $100,000 and over (5)",780
Manitoba,Females,25 to 34 years (4),"Persons with income of $150,000 and over (5)",130
Manitoba,Females,25 to 34 years (4),"Persons with income of $200,000 and over (5)",50
Manitoba,Females,25 to 34 years (4),"Persons with income of $250,000 and over (5)",20
Manitoba,Females,35 to 44 years (4),Total persons with income (5),76640
Manitoba,Females,35 to 44 years (4),"Persons with income under $5,000 (5)",5740
Manitoba,Females,35 to 44 years (4),"Persons with income of $5,000 and over (5)",70910
Manitoba,Females,35 to 44 years (4),"Persons with income of $10,000 and over (5)",65390
Manitoba,Females,35 to 44 years (4),"Persons with income of $15,000 and over (5)",60150
Manitoba,Females,35 to 44 years (4),"Persons with income of $20,000 and over (5)",54800
Manitoba,Females,35 to 44 years (4),"Persons with income of $25,000 and over (5)",49030
Manitoba,Females,35 to 44 years (4),"Persons with income of $35,000 and over (5)",36650
Manitoba,Females,35 to 44 years (4),"Persons with income of $50,000 and over (5)",20650
Manitoba,Females,35 to 44 years (4),"Persons with income of $75,000 and over (5)",8250
Manitoba,Females,35 to 44 years (4),"Persons with income of $100,000 and over (5)",2330
Manitoba,Females,35 to 44 years (4),"Persons with income of $150,000 and over (5)",590
Manitoba,Females,35 to 44 years (4),"Persons with income of $200,000 and over (5)",270
Manitoba,Females,35 to 44 years (4),"Persons with income of $250,000 and over (5)",140
Manitoba,Females,45 to 54 years (4),Total persons with income (5),82290
Manitoba,Females,45 to 54 years (4),"Persons with income under $5,000 (5)",6110
Manitoba,Females,45 to 54 years (4),"Persons with income of $5,000 and over (5)",76180
Manitoba,Females,45 to 54 years (4),"Persons with income of $10,000 and over (5)",71030
Manitoba,Females,45 to 54 years (4),"Persons with income of $15,000 and over (5)",66080
Manitoba,Females,45 to 54 years (4),"Persons with income of $20,000 and over (5)",61460
Manitoba,Females,45 to 54 years (4),"Persons with income of $25,000 and over (5)",56000
Manitoba,Females,45 to 54 years (4),"Persons with income of $35,000 and over (5)",43560
Manitoba,Females,45 to 54 years (4),"Persons with income of $50,000 and over (5)",25570
Manitoba,Females,45 to 54 years (4),"Persons with income of $75,000 and over (5)",11390
Manitoba,Females,45 to 54 years (4),"Persons with income of $100,000 and over (5)",3730
Manitoba,Females,45 to 54 years (4),"Persons with income of $150,000 and over (5)",940
Manitoba,Females,45 to 54 years (4),"Persons with income of $200,000 and over (5)",450
Manitoba,Females,45 to 54 years (4),"Persons with income of $250,000 and over (5)",250
Manitoba,Females,55 to 64 years (4),Total persons with income (5),71610
